recipe_id,ingredient_id,quantity,quantity_desc,variant
42198,19336,16.0,ounces,powdered sugar
42198,18609,12.0,ounces,vanilla wafers
42198,12155,,,walnuts
8559,28387,6.0,,hamburger buns
8559,11143,1.0,,celery
8559,6076,4.0,cups,beef broth
8559,10219,1.0,pounds,ground pork
8559,4679,1.0,tablespoons,cooking oil
8559,16124,,,soy sauce
37073,11355,1.0,pounds,red potatoes
37073,2036,1.0,teaspoons,rosemary
37073,4073,2.0,tablespoons,margarine
30131,9152,3.0,tablespoons,lemon juice
30131,2044,1.0,tablespoons,basil
30131,2020,1.0,teaspoons,garlic powder
30131,6971,1.0,tablespoons,worcestershire sauce
30131,16124,1.0,teaspoons,soy sauce
30300,18223,,,crackers
30300,43598,,,mayonnaise
30300,2030,,,black pepper
95926,18069,4.0,,white bread
95926,43598,4.0,tablespoons,mayonnaise
95926,9040,2.0,,bananas
208179,2050,1.0,teaspoons,vanilla
208179,19335,1.0,cups,granulated sugar
310570,18338,32.0,ounces,phyllo dough
310570,1019,3.0,cups,feta
310570,1015,16.0,ounces,cottage cheese
109818,6159,10.75,ounces,tomato soup
109818,10123,6.0,,bacon
109818,11683,1.0,pounds,carrot
101115,6116,14.0,ounces,beef gravy
101115,13047,1.0,pounds,ground beef
101115,20061,1.0,cups,white rice
60938,11282,5.0,,green onions
60938,2047,,,salt
60938,11362,3.0,pounds,potatoes
60938,1179,,,sour cream
60938,10123,1.0,pounds,bacon
60938,1009,2.0,cups,cheddar cheese
353171,19018,,,fruit
163238,13350,1.0,pounds,dried beef
163238,2030,,,black pepper
16391,2025,1.0,teaspoons,nutmeg
16391,2010,1.0,teaspoons,cinnamon
16391,9050,1.0,cups,blueberries
196264,11953,5.0,cups,zucchini
196264,4053,2.0,tablespoons,olive oil
196264,2047,1.0,teaspoons,salt
196264,11143,1.0,cups,celery
441744,2029,,,dried parsley
441744,2047,,,salt
441744,2042,,,dried thyme
441744,2026,1.0,teaspoons,onion powder
441744,11215,1.0,,garlic clove
16327,1033,2.0,tablespoons,parmesan cheese
16327,11457,1.0,,frozen spinach
