NDB_No,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Cleaned_Desc
1004,42.41,353,21.4,28.74,5.11,2.34,0.0,0.5,528.0,0.31,23.0,387.0,256.0,1146.0,2.66,0.04,0.009,14.5,0.0,0.029,0.382,1.016,1.729,0.166,36.0,0.0,36.0,36.0,15.4,1.22,721.0,198.0,192.0,0.0,74.0,0.0,0.0,0.0,0.25,0.5,21.0,2.4,18.669,7.778,0.8,75.0,28.35,1 oz,17.0,1 cubic inch,cheese blue
1006,48.42,334,20.75,27.68,2.7,0.45,0.0,0.45,184.0,0.5,20.0,188.0,152.0,629.0,2.38,0.019,0.034,14.5,0.0,0.07,0.52,0.38,0.69,0.235,65.0,0.0,65.0,65.0,15.4,1.65,592.0,174.0,173.0,0.0,9.0,0.0,0.0,0.0,0.24,0.5,20.0,2.3,17.41,8.013,0.826,100.0,28.35,1 oz,144.0,"1 cup, sliced",cheese brie
1007,51.8,300,19.8,24.26,3.68,0.46,0.0,0.46,388.0,0.33,20.0,347.0,187.0,842.0,2.38,0.021,0.038,14.5,0.0,0.028,0.488,0.63,1.364,0.227,62.0,0.0,62.0,62.0,15.4,1.3,820.0,241.0,240.0,0.0,12.0,0.0,0.0,0.0,0.21,0.4,18.0,2.0,15.259,7.023,0.724,72.0,28.35,1 oz,246.0,1 cup,cheese camembert
1009,37.02,404,22.87,33.31,3.71,3.09,0.0,0.48,710.0,0.14,27.0,455.0,76.0,653.0,3.64,0.03,0.027,28.5,0.0,0.029,0.428,0.059,0.41,0.066,27.0,0.0,27.0,27.0,16.5,1.1,1242.0,330.0,330.0,0.0,85.0,0.0,0.0,0.0,0.71,0.6,24.0,2.4,18.867,9.246,1.421,99.0,132.0,"1 cup, diced",244.0,"1 cup, melted",cheese cheddar
1015,81.24,81,10.45,2.27,1.27,4.76,0.0,4.0,111.0,0.13,9.0,150.0,125.0,308.0,0.51,0.033,0.015,11.9,0.0,0.02,0.251,0.103,0.524,0.057,8.0,0.0,8.0,8.0,16.3,0.47,225.0,68.0,68.0,0.0,6.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,1.235,0.516,0.083,12.0,113.0,4 oz,226.0,"1 cup,  (not packed)",cheese cottage lowfat 2%
1017,52.62,350,6.15,34.44,1.27,5.52,0.0,3.76,97.0,0.11,9.0,107.0,132.0,314.0,0.5,0.018,0.011,8.6,0.0,0.023,0.23,0.091,0.517,0.056,9.0,0.0,9.0,9.0,27.2,0.22,1111.0,308.0,303.0,1.0,59.0,2.0,0.0,7.0,0.86,0.0,0.0,2.1,20.213,8.907,1.483,101.0,14.5,1 tbsp,232.0,1 cup,cheese cream
1019,55.22,264,14.21,21.28,5.2,4.09,0.0,4.09,493.0,0.65,19.0,337.0,62.0,917.0,2.88,0.032,0.028,15.0,0.0,0.154,0.844,0.991,0.967,0.424,32.0,0.0,32.0,32.0,15.4,1.69,422.0,125.0,125.0,0.0,3.0,0.0,0.0,0.0,0.18,0.4,16.0,1.8,14.946,4.623,0.591,89.0,150.0,"1 cup, crumbled",28.35,1 oz,cheese feta
1020,37.92,389,25.6,31.14,3.79,1.55,0.0,1.55,550.0,0.23,14.0,346.0,64.0,800.0,3.5,0.025,0.014,14.5,0.0,0.021,0.204,0.15,0.429,0.083,6.0,0.0,6.0,6.0,15.4,1.68,913.0,261.0,258.0,0.0,32.0,0.0,0.0,0.0,0.27,0.6,23.0,2.6,19.196,8.687,1.654,116.0,132.0,"1 cup, diced",108.0,"1 cup, shredded",cheese fontina
1023,33.19,413,29.81,32.34,4.3,0.36,0.0,0.36,1011.0,0.17,36.0,605.0,81.0,714.0,3.9,0.032,0.017,14.5,0.0,0.06,0.279,0.106,0.562,0.081,10.0,0.0,10.0,10.0,15.4,1.6,948.0,271.0,268.0,0.0,33.0,0.0,0.0,0.0,0.28,0.6,24.0,2.7,18.913,10.043,1.733,110.0,28.35,1 oz,28.0,"1 slice,  (1 oz)",cheese gruyere
1025,41.01,373,24.48,30.28,3.55,0.68,0.0,0.5,746.0,0.72,27.0,444.0,81.0,600.0,3.0,0.032,0.011,14.5,0.0,0.015,0.39,0.093,0.21,0.079,18.0,0.0,18.0,18.0,15.4,0.83,769.0,198.0,192.0,0.0,78.0,0.0,0.0,0.0,0.26,0.6,22.0,2.5,19.066,8.751,0.899,89.0,132.0,"1 cup, diced",113.0,"1 cup, shredded",cheese monterey
