id,steps,order
42198,"crush vanilla wafers into fine crumbs and line a square 8"" x8"" pan",1
42198,mix butter or margarine and sugar,2
42198,add beaten eggs,3
42198,spread the mixture over the wafer crumbs,4
42198,"crush strawberries and spread over sugar , egg , and butter mixture",5
42198,cover strawberries with whipped cream,6
42198,sprinkle with chopped nuts,7
42198,chill 24 hours,8
8559,brown ground meat and onion in a large pot,1
8559,add 1 / 4 cup of soy sauce,2
8559,"thinly slice the entire bunch of celery , including the leaves",3
8559,add beef broth and celery,4
8559,bring to a boil,5
8559,reduce heat and simmer until celery is tender,6
8559,"add more soy sauce if needed , to taste",7
8559,serve as an open face sandwich over a hamburger bun,8
37073,preheat oven to 400 degrees,1
37073,cut the potatoes into strips about 2 1 / 2 inches long by 1 / 4-inch thick,2
37073,soak the potatoes in ice water for five minutes,3
37073,"drain the potatoes , then rinse thoroughly under cold water",4
37073,press between paper towels to dry,5
37073,"transfer potatoes to a bowl , pour melted margarine over the potatoes and toss to coat them",6
37073,spray baking sheet with non-stick spray,7
37073,spread potatoes onto baking sheet,8
37073,bake for 15 minutes,9
37073,toss and turn,10
37073,bake for five minutes,11
37073,add herbs and toss,12
37073,bake a final five minutes until the potatoes are brown and crisp,13
37073,serve immediately,14
30131,depending on how much meat i have i usually have to either double or triple this recipe the longer your meat marinates the better it tastes,1
30131,"this recipe was originally for salmon , but i think it can be used universally",2
30131,i've also used this same recipe for steak and chicken,3
30131,it is wonderful,4
30300,put a slice of tomato on each biscuit / cracker,1
30300,smear with little mayo and sprinkle black pepper,2
30300,munch without guilt !,3
95926,spread a tablespoon on one side of each slice on bread,1
95926,peel and cut the bananas into 1 / 4-inch round slices,2
95926,lay the slices on two of the slices of bread and then top with the other half,3
95926,enjoy !,4
208179,this first part is best made ahead to allow for cooling,1
208179,"in a small sauce pan , mix flour into milk , then heat on low heat , stirring constantly until mixture resembles a thick pudding",2
208179,cover and let cool,3
208179,"in a separate bowl , cream butter with sugar",4
208179,add vanilla and blend until smooth,5
208179,add first mixture after fully cooled,6
208179,decorate as usual,7
208179,should be able to ice one 8x8 cake,8
208179,excellent for carrot cake when using cream cheese,9
310570,first - let me explain the feta,1
310570,we have an italian market that sells fresh fruits and veggies etc,2
310570,and they have a fresh cheese section,3
310570,i always buy a block of french feta cheese,4
310570,i use half for this recipe and the rest for omelets etc,5
310570,you can use the prepacked feta but if you want the full experience you'll need a lot,6
310570,"also , you may use other variety of feta the french is very salty which is why i add cottage cheese",7
310570,it kind of balances out the saltiness abit,8
310570,you just need 1 package of phyllo,9
310570,"mine says 32 oz , buy the long box not the country",10
310570,preheat oven to 350f,11
310570,"in large mixing bowl beat eggs , add 2 cups milk and mix well",12
310570,take your block of feta and cut in half,13
310570,use one 1 / 2 and refrigerate the other,14
310570,crumble the feta into the egg mix and add cottage cheese,15
310570,make sure you have nice chunks,16
310570,"mix well , the mixture should be thick and very lumpy",17
310570,if too thick add more milk,18
310570,take a large deep baking dish,19
310570,sprinkle oil on bottom only,20
310570,"lay one sheet phyllo and drizzle with oil , continue until you have 4 sheets",21
310570,"when you add the last sheet place your hand flat on the phyllo sheets and gently gather , without tearing by pulling the sides slightly toward center",22
310570,:),23
310570,"use 1 full ladle of the egg / feta mixture onto the layer , you don't need to cover all the phyllo just don't leave the feta in one spot distribute",24
310570,layer another phyllo sheet and sprinkle with oil,25
310570,layer another sheet of phyllo and again crumple the center then sprinkle the oil,26
310570,one ladle of the egg / feta mix,27
310570,continue in this pattern,28
310570,if you see that you have alot of the egg / feta mix left you can start to add more than the 1 ladle,29
310570,your last layer should be 3-4 layers of phyllo,30
310570,don't sprinkle with oil yet,31
310570,"take a soup spoon and with the handle , tuck in the sides",32
310570,now sprinkle with oil,33
310570,bake for about 30-40 minutes or until the top is puffed and nicely browned,34
310570,your kitchen with smell wonderful,35
310570,the burek will puff high off the top of the pan but once cooled will drop,36
310570,you must cool completely or you will nto be able to cut with out it falling apart,37
310570,it's moist and a bit salty and goes great with a nice cold beer ! you can serve as main meal with salad or as appetizer,38
109818,preheat oven to 350f,1
109818,cook bacon until crisp,2
109818,drain grease and crumble into fine bits,3
109818,"peel and slice carrots , place into baking dish",4
109818,"add tomato soup , bacon and sugar and stir well",5
109818,bake for 30-45 minutes until bubbly,6
109818,eat and enjoy !,7
101115,cook rice according to package directions,1
101115,divide ground beef in half and make two patties seasoned to your own taste,2
101115,cook patties in a large skillet until done and then set aside leaving fat in pan,3
101115,cook onions in pan until tender and set aside,4
101115,"fry both eggs in same pan until done , but with soft centers",5
101115,heat gravy in sauce pan or microwave oven,6
101115,"use two dinner plates , making a bed of the cooked rice on each",7
101115,place one of the beef patties on each bed of rice,8
101115,divide cooked onions and place each half around each of the patties,9
101115,top each patty with one of the fried eggs,10
101115,divide beef gravy and pour each half over the plates of food,11
60938,preheat oven to 375f,1
60938,"cook the diced bacon until crispy , remove from bacon fat and drain on paper towel",2
60938,"forget everything you were ever taught about peeling potatoes , and peel them with a knife leaving a good bit of potato on the skin",3
60938,"retain center of potatoes for another recipe , or slice them into wedges and cook in the same manner as the potato skins",4
60938,deep fry the potato skins until crispy and golden,5
60938,drain thoroughly and salt to taste,6
60938,spread the potato skins evenly on a pizza pan,7
60938,"sprinkle evenly with the green onions , cheese and bacon",8
60938,bake for 10-15 minutes until hot and cheddar is melted,9
60938,serve hot with sour cream for dipping,10
353171,"in a bowl combine eggs , sugar , flour and milk",1
353171,grease a stoneware dish with all the butter,2
353171,"pour in the dough and add fruit , raisins or almonds to taste",3
353171,bake in the cold oven at 180c for about 60 minutes or until custard has set,4
353171,you might need to cover the dish after 40 minutes or so,5
353171,allow to stand and set for at least 10 minutes before serving,6
163238,melt butter in 2 quart sauce pan or larger,1
163238,shred dried beef by hand into small pieces,2
163238,add dried beef to melted butter and cook over medium-high heat until edges curl,3
163238,stir in flour and mix thoroughly,4
163238,"add milk , reduce heat to medium low and continue stirring frequently until mixture is smooth & bubbly",5
163238,"when it's as thick as you'd like , bring to a boil , stirring constantly and boil 1 minute",6
163238,remove from heat and serve over toast and / or home fried potatoes,7
16391,place all ingredients in a saucepan,1
16391,bring to a boil,2
16391,reduce the heat and simmer for 5 minutes,3
16391,"yum , it is ready !",4
196264,chop or partially puree tomatoes to your liking,1
196264,heat oil in large pan,2
196264,"add onion and celery , saute for about 10 minutes or until onion and celery are soft",3
196264,add zucchini and cook until soft,4
196264,"add tomatoes , sugar and salt",5
196264,"bring to boil , and turn down to a simmer",6
196264,simmer for 30 minutes,7
196264,cool and pack into freezer containers,8
196264,freeze up to 3 months,9
441744,"in a small saucepan over medium heat , melt butter",1
441744,add minced garlic and saute 1 minute,2
441744,"add flour and stir quickly , forming a paste and mixing well",3
441744,"slowly add milk a little at a time , while stirring constantly to avoid scalding",4
441744,"once milk is added and mixed well , reduce heat to medium-low and add herbs",5
441744,add salt / pepper to your liking,6
441744,"turn off the heat and let the soup simmer for a couple of minutes , stirring occasionally",7
441744,use as a soup base or pour into your casserole,8
16327,i keep drained yogurt available in my fridge all the time,1
16327,i use a coffee filter and a wire strainer,2
16327,"i usually drain it over night , but even a half hour makes a big difference",3
16327,"once you drain the yogurt , it becomes very thick and much less tart",4
16327,cook spinach according to package directions,5
16327,"while it cooks , saute chopped onions until slightly browned",6
16327,drain spinach well and combine with all other ingredients while still hot,7
280918,"to avoid grease splatters on the top of your stove or having to wash an extra splatter screen , simply put bacon in a cast iron skillet with the lid on in a preheated 450 oven for about 15 minutes",1
280918,"remove the skillet , drain the bacon , and the oven stays clean and so does the top of your stove",2
280918,enjoy now and / or you can crumble up the leftover bacon to use in omelets or other recipes for later,3
280918,simply put them in a freezer bag and use later,4
280918,it's especially efficient when you've already heated the oven for another dish,5
286851,"roll ground beef into very small balls , just a touch bigger than the peas",1
286851,brown on medium heat in non-stick pan sprayed lightly with oil,2
286851,keep them moving while browning,3
286851,"add rest of ingredients , slowly stirring until all is well incorporated",4
286851,"serve over rice , pasta",5
286851,or toast points,6
286851,"and that's all there is , folks !",7
298874,melt butter in a saucepan over medium heat,1
298874,sprinkle flour over melted butter and whisk together to form a paste,2
298874,allow this to cook for a minute,3
298874,"pour in milk , all at once , whisking constantly",4
298874,"add seasonings , whisking constantly",5
298874,"allow the gravy to come to a boil , still whisking",6
298874,"taste and adjust seasoning , if necessary",7
218648,"in a large saucepan , mix sugar and corn syrup and bring to a boil , stirring frequently",1
218648,boil for 1 minute,2
218648,remove from heat and blend in peanut butter,3
218648,"add cornflakes , stirring gently to coat",4
218648,"working quickly , drop mixture in 1 / 4 cup lumps , 2"" apart onto countertop lined with waxed paper",5
218648,"using fingers , shape each cookie into rounded mound as necessary",6
218648,let stand at room temp for 20-30 minutes to set,7
218648,store in airtight container at room temperature,8
29916,mix all ingredients in a blender until well blended,1
29916,serve immediately,2
342698,preheat your oven to 365 degrees f and grease a 9x13 pan,1
342698,melt the chocolate and butter in pan over low heat and set aside,2
342698,just make sure it doesn't burn !,3
342698,"in a large bowl , beat the eggs , sugar , and vanilla at high speed",4
342698,doing this for 10 minutes would be ideal but your brownies won't be ruined if you don't,5
342698,"mix in the chocolate / butter mix , flour , and salt until just combined",6
342698,fold in the nuts,7
342698,pour into the prepared pan and bake for 32-37 minutes,8
35632,whisk together all ingredients,1
35632,cover and store in the refrigerator,2
35632,i also love to sprinkle freshly ground black pepper whenever i put this on my sandwich,3
198343,grease and flour a bundt pan or 2 large loaf pans,1
198343,beat the sugar and eggs until creamy,2
198343,mix in the oil,3
198343,sift the dry ingredients togethr and add to the creamed mixture,4
198343,beat in the bananas or mash them and mix in if the are on the less ripe side,5
198343,mix in the raisins,6
198343,"pour this mixture into a bundt pan , and spread out evenly",7
198343,bake in a 350 degree oven for 60 minutes or until done,8
198343,turn out of the pan when the cake is cool,9
96727,"in large mixing bowl , mix all ingredients together",1
96727,fold until all is blended,2
96727,"keep refrigerated in mason jars with lids , or in containers with tightly fitting lids",3
96727,"to make garlic bread , slice french bread and place on cookie sheet",4
96727,spoon spread onto bread,5
96727,"toast , bake , or broil until cheese is bubbly and nicely browned",6
474258,boil water and prepare noodles as directed on the package,1
474258,in a saucepan melt butter,2
474258,once the butter is melted stir and watch,3
474258,once the butter begins to turn golden and then brown,4
474258,wait until the butter has turned medium to dark brown and take off of heat,5
474258,drain noodles and pour butter over them,6
474258,the butter will sizzle when it hits the noodles,7
474258,there will be little brown flecks on the noodles,8
344420,"cut avacado in half , remove seed , and scoop insides into a bowl",1
344420,mash the avacado like you would mash potatoes,2
344420,add salsa to taste,3
344420,"i usually add about 1 / 2 the jar , or more depending on how many avacados i use",4
344420,mix avacado and salsa very well,5
344420,"add sour cream to the mixture , to taste",6
344420,"i usually add at least 4-8 oz of sour cream , but if i make a big batch i'll sometimes add more",7
344420,"mine is usually a light color of green , but it is definately green",8
16451,place the mushrooms in a baking dish,1
16451,"mix cottage cheese , jalapeno and garlic",2
16451,spoon into the mushroom caps,3
16451,sprinkle with cayenne or chile,4
16451,have oven rack in second position down in the oven turn on broiler and broil the mushrooms until the cottage cheese is bubbly and slightly brown,5
16451,serve warm,6
67142,mix all ingredients except for the fruit and juice into your baking dish,1
67142,"pour , do not mix , the fruit and juice into the above mixture",2
67142,bake at 375 degrees for 40-45 minutes to an hour,3
327979,put all 3 ingredients into a blender bowl & blend until smooth !,1
327979,pour into two tall glasses & enjoy !,2
449891,blend everything but the apples,1
449891,"place apples in a greased 8x8 pan , and cover with oat mix",2
449891,bake at 350 degrees for 30 minutes,3
221942,combine all ingredients in a saucepan,1
221942,"heat over medium-high and stir often until milk and rice thicken , about 20 minutes or so",2
221942,put into dessert cups and chill until ready to eat,3
497150,heat oven to 350f,1
497150,"in a large bowl , beat butter and sugars on medium speed of electric mixer until creamy",2
497150,add eggs and vanilla,3
497150,beat well,4
497150,"add combined flour , baking soda , cinnamon and salt",5
497150,mix well,6
497150,add oats and raisins,7
497150,mix well,8
497150,drop dough by rounded tablespoonfuls onto ungreased cookie sheets,9
497150,bake 8 to 10 minutes or until light golden brown,10
497150,cool 1 minute on cookie sheets,11
497150,remove to wire rack,12
497150,cool completely,13
497150,store tightly covered,14
497150,for bar cookies bake 30 to 35 minutes in an ungreased 9 x 13 - inch metal baking pan,15
15211,heat oven to 375 degrees,1
15211,peel the potatoes and slice them thinly,2
15211,thickly butter a deep charlotte mould and line the sides with potato slices placed closely to gether and attached firmly to the butter,3
15211,"cover the bottom also and sprinkle lightly with salt , freshly ground pepper and flecks of butter , cover with another layer of potatoes , seasoning and butter and so on until the tin is three-quarters full",4
15211,cover with buttered paper and cook for 45 minutes or until tender when pierced with a sharply pointed knife,5
15211,"to serve , pass the blade of a knife around the inside of the tin , hold a heated plate over it and invert , giving a sharp tap as the plate is set down to turn out the contents",6
15211,the inside should be soft and the outside crust crisp and golden brown,7
127048,"combine rhubarb , onion , raisins , sugar and vinegar",1
127048,"cook until thick , about 25 minutes",2
127048,"as mixture thickens , stir frequently to prevent sticking",3
127048,add spices,4
127048,cook 5 minutes longer,5
127048,"pour , boiling hot , into sterlized pint jars , leaving 1 / 8-inch head space",6
127048,adjust caps,7
127048,process in a boiling water bath according to manufactures instructions,8
127048,makes about 4 pints,9
127048,excellent accompaniment with meats,10
26420,mix all ingredients and chill,1
26420,when ready to serve dip shrimp and enjoy,2
187210,combine all ingredients in a small jar & shake well,1
370567,keep trying !,1
370567,"in a small bowl , grate cheese and set aside",2
370567,heat a non-stick pan over medium-high heat until it becomes very warm to the touch,3
370567,"sprinkle the shredded cheese of choice onto the surface of the pan , spreading out the cheese to the approximate diameter of the tortilla",4
370567,"when the cheese starts to melt , lay the tortilla on top of the cheese and press it down into the melting cheese",5
370567,"let the tortilla sit , undisturbed , in the pan for approximately 30 seconds",6
370567,gently test around the edges by sliding a wide spatula under the tortilla,7
370567,lift tortilla slightly to check if the cheese has turned golden and is sticking to the tortilla,8
370567,"once the cheese has stuck , slide the spatula completely under the tortilla and flip it over to brown the other side",9
370567,slide tortilla onto a platter,10
370567,"if desired , top with your favorite quesadilla fillings like guacamole , shredded lettuce , salsa , black olives , sour cream , etc",11
269443,"chop pepper into very small pieces , set aside",1
269443,turn stove on medium heat,2
269443,"put cheese , milk , and chopped jalapeo in a pan and be sure to watch it until the cheese melts",3
269443,"when you're sure the cheese has melted , turn stove completely off",4
269443,place cheese concoction in a large bowl,5
269443,add rest of ingredients to bowl,6
269443,stir,7
269443,"if your cheese seems to have thickened , heat it on stove for maybe 3 minutes on low stirring occasionally",8
269443,serve immediately so the cheese won't thicken on your party goers,9
286484,mash the banana then add the plain yogurt and stir until very creamy,1
286484,stir in the nutmeg and vanilla extract,2
286484,yield is estimated,3
480558,1) peel your bananas first,1
480558,2) cut them into small pieces,2
480558,3) freeze for just 1-2 hours on a plate,3
480558,"4) blend , blend , blend - scraping down the bowl when they stick",4
480558,5) enjoy the magic moment when they turn into ice cream !,5
236346,place the potato on a pot and fill it with water,1
236346,put it on the stove and wait for the potato to be tender,2
236346,drain the water and place the potato in the same pot,3
236346,"with a fork mash the potato , it will look dry don't you worry",4
236346,"put salt and pepper , butter and milk , mix it all and watch the creaminess appear",5
236346,"you don't even have to serve it on a dish , you can pig out on it in the same pot !",6
236346,enjoy,7
11361,remove skin from sausages,1
11361,"cut into 1-1 1 / 2"" pieces",2
11361,"add oil , if using , and fry sausage until brown and no longer pink",3
11361,drain on paper towel and use in your favorite recipe,4
458729,preheat oven to 425f,1
458729,put asparagus in shallow roasting pan,2
458729,drizzle with oil and sprinkle salt & pepper,3
458729,toss to coat,4
458729,spread in single layer and bake 20 minute,5
458729,"after baking , sprinkle with lemon juice and chives",6
100864,heat oven to 375f,1
100864,lightly grease a 13x9 glass pan,2
100864,cut fruit into slices and layer in bottom of pan,3
100864,mix dry ingredients in a medium sized bowl and then cut in butter with a pastry cutter,4
100864,sprinkle mixture over fruit,5
100864,bake for 30-35 minutes,6
100864,top should be browned,7
100864,serve with ice cream or whipped cream,8
164100,preheat oven to 375f,1
164100,lightly press hash brown potatoes into greased 9-inch pie plate to form crust,2
164100,sprinkle with 1 / 2 cup of the cheese,3
164100,top with mushrooms and broccoli,4
164100,"beat eggs , milk , thyme , onion powder and pepper with wire whisk until well blended",5
164100,pour over broccoli,6
164100,sprinkle with remaining 1 / 2 cup cheese,7
164100,bake 35 minute or until center is set and top is golden brown,8
164100,creative leftovers:,9
164100,this is great reheated the next day,10
164100,microwave each slice on high 1 to 2 minute or until heated through,11
164100,serve for lunch with a side salad,12
111072,preheat oven to 350 degrees f,1
111072,"grease and flour 3 cake pans ,",2
111072,"using an electric mixer , cream butter until fluffy",3
111072,add sugar and continue to cream well for 6 to 8 minutes,4
111072,"add eggs , 1 at a time , beating well after each addition",5
111072,"add flour and milk alternately to creamed mixture , beginning and ending with flour",6
111072,add vanilla and continue to beat until just mixed,7
111072,divide batter equally among prepared pans,8
111072,"level batter in each pan by holding pan 3 or 4 inches above counter , then dropping it flat onto counter",9
111072,do this several times to release air bubbles and assure you of a more level cake,10
111072,bake for 25 to 30 minutes or until done,11
111072,cool in pans 5 to 10 minutes,12
111072,invert cakes onto cooling racks,13
111072,cool completely and spread cake layers with your favorite frosting to make a 3-layer cake,14
165438,pour boiling water over raisins and let sit while preparing rest of cake,1
165438,"cream butter and sugar , beat in eggs",2
165438,"sift flour , cream of tartar and soda",3
165438,add to creamed mixture alternately with orange juice and vanilla,4
165438,drain raisins,5
165438,add to batter,6
165438,"pour into 9""x13"" pan or two 9-inch layer pans which have been buttered and floured",7
165438,bake at 350 f for 45 minutes for large pan or 30 minutes for layer pans,8
165438,can be iced or served with sliced berries and whipped cream,9
165438,really good plain too !,10
8606,heat oil,1
8606,"brown garlic , onion , mushrooms and parsley",2
8606,add all other ingredients,3
8606,simmer 10 minutes,4
429838,melt butter in saucepan over medium heat,1
429838,add 1 / 4 cup grated onion,2
429838,saute 2 minutes,3
429838,add oregano and 1 / 2 tsp salt,4
429838,cook with stirring 3 minutes until onions begin to brown,5
429838,add crushed garlic,6
429838,cook 30 seconds,7
429838,add crushed tomatoes and sugar,8
429838,turn heat to high and cook with stirring until simmering,9
429838,turn heat to medium low,10
429838,simmer 10 minutes,11
429838,remove from heat,12
429838,stir in olive oil and basil,13
429838,season with salt and pepper to taste,14
429838,serve over pasta,15
423880,wizz together in blender adding more of either yogurt or mango nectar to taste,1
423880,if needed add your preferred version of sweetener but take into account an additional 5 seconds lol,2
423880,pour into a tall glass & enjoy,3
126072,mix first 3 ingredients plus salt until crumbly,1
126072,add milk until mixed into dough,2
20238,melt butter in a saucepan,1
20238,sprinkle in flour,2
20238,add milk,3
20238,stir until thickened,4
20238,add grated cheese,5
20238,pour mixture over beaten egg yolks,6
20238,fold in beaten egg whites,7
20238,pour into buttered ramekins,8
20238,run thumb around lip of ramekins,9
20238,bake for exactly 30 minutes at 350 degrees,10
292147,microwave buttermilk for 30secs to a minute so it's lukewarm,1
292147,add all ingredients to breadmachine in the order listed,2
292147,select 1,3
292147,5 lbs loaf,4
292147,if the mixture is too dry add one tablespoon of buttermilk and a time & if it's too wet add a tablespoon of flour at a time,5
292147,make sure the buttermilk or flour is completely incorporated before adjusting again,6
213681,"mash bananas with sugar , oil , and egg",1
213681,add other ingredients in order listed,2
213681,stir 100 strokes,3
213681,bake in oiled loaf pan for 1 hour at 325 degrees,4
449768,preheat the oven to 200 degrees,1
449768,line a large rimmed baking sheet with aluminum foil or parchment paper,2
449768,do not overlap,3
449768,"place the tomatoes , cut side up , on the baking sheet",4
449768,"season on the cut side with salt and pepper to taste , then drizzle with olive oil",5
449768,sprinkle 1 / 2 teaspoon cumin on each tomato half,6
449768,"bake for 8 to 12 hours , or until the tomatoes have collapsed and shriveled to about 1 / 4 inch thick",7
449768,they should still be moist inside,8
449768,"cool completely , then refrigerate in an airtight container",9
449768,place a small skillet over medium heat,10
449768,"add the seeds and toast , shaking the pan occasionally , for 2 to 4 minutes , until fragrant",11
449768,transfer to a heatproof bowl and cool completely,12
449768,"the low heat of the oven turns these tomatoes almost jammy , shriveling them and concentrating their flavor beautifully",13
449768,"the amount of time it takes depends greatly on the size and juiciness of the tomatoes , so for the least fuss , don't mix varieties or sizes",14
449768,"left long enough , they'll start to get a little chewy around the edges , which makes a nice counterpoint to the moisture inside",15
449768,"other herbs and spices , particularly cinnamon and paprika , can be substituted for the cumin , if desired",16
449768,"put the tomatoes on bread or crostini for bruschetta , served as part of an an",17
449768,the tomatoes can be refrigerated in an airtight container for up to 2 weeks or frozen in heavy-duty plastic freezer bags for up to six months,18
449768,"if your refrigerator is under 38 degrees , you can pack the tomatoes into glass jars , covered with olive oil , for several months",19
302815,cook pasta as directed on package,1
302815,"meanwhile , cook and stir garlic in butter in large saucepan on medium heat until tender but not browned",2
302815,"add drained pasta to saucepan , mix lightly",3
302815,sprinkle with cheese,4
302815,toss to coat,5
302815,serve immediately,6
240311,place cubed bread in loaf pan,1
240311,"in a mixing bowl , combine eggs and sugar",2
240311,mix well,3
240311,"add cream , salt and cinnamon",4
240311,mix well,5
240311,pour custard over bread cubes,6
240311,press down so custard soaks in well,7
240311,place soft butter on top of bread,8
240311,bake in a water bath at 325 degrees for approximately one hour until golden brown and custard is firm,9
240311,serve with vanilla sauce,10
245950,heat bacon grease,1
245950,add onion and fry until golden,2
245950,"add flour , salt and pepper and cook until light brown , stirring constantly",3
245950,"add canned tomatoes , sugar , bay leaf and celery leaves or celery salt",4
245950,cook for another five minutes,5
245950,remove bay leaf,6
245950,rub through a strainer or serve without straining for chunkier sauce,7
245950,adjust seasonings to taste,8
170336,heat oven to 375 degrees,1
170336,have ungreased baking sheet ready,2
170336,"sift together the flour , baking soda , spices and salt",3
170336,set aside,4
170336,"beat the butter and 1 cup of the granulated sugar in large bowl of an electric mixer on high speed until light , 1 minute",5
170336,add the egg and molasses,6
170336,mix well,7
170336,stop the mixer and add the flour mixture,8
170336,mix just until combined,9
170336,"using about 1 1 / 2 teaspoons dough for each , roll dough into balls",10
170336,roll in the remaining 1 / 2 cup granulated sugar so they are fully coated,11
170336,"arrange on baking sheet , spacing them 2 inches apart",12
170336,"if you prefer a thin , crisp cookie , they may be flattened with a glass that has been dipped in sugar",13
170336,"bake until set , 9 to 10 minutes",14
170336,transfer to a wire rack and let cool,15
471666,"put sugar , salt and egg whites in the heatproof bowl , and set over a pan of simmering water",1
471666,"whisk constantly until sugar is dissolved , and mixture registers 140f on an instant-read thermometer",2
471666,"if the sugar is not completely melted , your final product will be grainy",3
471666,transfer bowl to an electric mixer fitted with the whisk attachment,4
